A,B,C,D,E,F,G,H
1,1 PICASSO Pablo (1881-1973),"121,018,218","262,473,114",1754,1793,"13,000,000","17,100,000"
2,3 WARHOL Andy (1928-1987),"106,829,556","236,777,133",831,1177,"39,000,000","29,000,000"
3,59 QI Baishi (1864-1957),"70,047,942","20,633,135",495,286,"12,469,500","800,240"
4,12 MATISSE Henri (1869-1954),"69,734,420","86,001,125",256,419,"41,046,400","20,000,000"
5,194 MONDRIAN Piet (1872-1944),"57,950,358","6,529,748",10,12,"24,627,840","3,734,830"
6,6 GIACOMETTI Alberto (1901-1966),"51,266,158","132,642,456",108,113,"17,200,000","24,500,000"
7,15 LÉGER Fernand (1881-1955),"50,592,330","77,535,233",200,203,"13,083,540","35,000,000"
8,8 DEGAS Edgar (1834-1917),"43,304,861","111,838,114",61,86,"16,870,460","33,000,000"
9,54579 RAPHAEL  (1483-1520),"42,723,200",382,1,1,"42,723,200",382
10,5 MONET Claude (1840-1926),"40,399,336","174,695,716",16,25,"14,273,000","71,846,600"
11,51 ZHANG Daqian (1899-1983),"39,782,625","23,152,416",393,273,"1,875,200","957,221"
12,21 MIRO Joan (1893-1983),"37,984,689","54,206,055",916,946,"5,750,500","15,200,000"
13,40 CALDER Alexander (1898-1976),"35,835,255","29,363,525",267,325,"3,791,550","2,150,000"
14,38 DONGEN van Kees (1877-1968),"35,609,766","31,406,797",105,117,"12,250,000","9,828,500"
15,71 CHIRICO de Giorgio (1888-1978),"35,007,247","15,530,615",173,150,"12,570,460","5,400,000"
16,43 ZAO Wou-ki (1921),"33,736,993","27,456,348",185,241,"4,356,800","5,160,000"
17,15608 BRANCUSI Constantin (1876-1957),"33,449,661","14,720",6,2,"33,350,200","9,500"
18,295 REMBRANDT VAN RIJN  (1606-1669),"33,314,147","3,879,717",428,348,"29,577,600","530,775"
19,100 XU Beihong (1895-1953),"30,668,472","11,814,250",138,99,"1,687,050","885,980"
20,17 CHAGALL Marc (1887-1985),"29,934,219","63,260,598",895,996,"3,200,000","3,149,440"
21,82 FU Baoshi (1904-1965),"29,568,766","13,944,977",69,63,"6,837,000","1,157,490"
22,31 PISSARRO Camille (1830-1903),"28,736,597","36,367,600",95,107,"6,200,000","4,139,730"
23,11 KOONS Jeff (1955),"28,217,046","89,249,106",91,114,"5,000,000","22,947,100"
24,1290 LEMPICKA de Tamara (1898-1980),"28,124,607","634,484",29,10,"5,400,000","404,300"
25,20 RENOIR Auguste (1841-1919),"26,275,914","57,825,859",218,255,"4,084,250","13,010,580"
26,148 LIN Fengmian (1900-1991),"25,389,125","7,875,059",168,89,"1,807,400","714,999"
27,14 BASQUIAT Jean-Michel (1960-1988),"24,054,642","79,314,879",56,72,"5,150,000","12,000,000"
