Rank,-,Artist,TotalPrice,-,TotalLots,-,MaxPrice,-
1,1,PICAssO Pablo (1881-1973),"361,493,772","121,125,525",2022,1790,"95,000,000","13,000,000"
2,3,QI Baishi (1864-1957),"339,231,302","70,178,537",914,503,"9,535,500","12,469,500"
3,2,WArHOL Andy (1928-1987),"313,535,564","106,904,681",1120,844,"56,500,000","39,000,000"
4,11,ZHAnG daqian (1899-1983),"304,303,005","40,052,284",795,397,"13,203,000","1,875,200"
5,6,GIACOMettI Alberto (1901-1966),"213,618,702","51,266,757",132,109,"92,521,600","17,200,000"
6,19,XU Beihong (1895-1953),"176,249,208","30,670,377",248,140,"23,026,500","1,687,050"
7,4,MAtIsse Henri (1869-1954),"174,029,764","69,741,862",343,260,"43,500,000","41,046,400"
8,55,MOdIGLIAnI Amedeo (1884-1920),"139,795,698","13,282,791",36,39,"61,500,000","8,278,340"
9,21,FU Baoshi (1904-1965),"125,214,666","29,663,766",203,70,"7,985,600","6,837,000"
10,46,LICHtensteIn roy (1923-1997),"112,531,769","15,232,838",380,253,"38,000,000","5,300,000"
11,42,LI keran (1907-1989),"86,391,202","17,083,225",214,106,"14,486,400","2,127,150"
12,10,MOnet Claude (1840-1926),"80,396,326","40,399,336",35,16,"22,000,000","14,273,000"
13,28,WU Guanzhong (1919-2010),"72,768,488","23,968,508",147,76,"7,476,600","4,034,250"
14,32,ZHU da (1626-1705),"70,281,302","21,673,863",50,16,"22,500,000","10,987,500"
15,212,kLIMt Gustav (1862-1918),"68,607,378","3,265,825",69,52,"38,284,800","1,712,760"
16,45,rICHter Gerhard (1932),"67,031,150","15,925,175",192,130,"11,750,000","2,670,105"
17,98,rOtHkO Mark (1903-1970),"63,920,496","8,032,426",9,9,"28,000,000","2,950,000"
18,27,BAsQUIAt Jean-Michel (1960-1988),"63,915,859","24,053,349",68,55,"6,400,000","5,150,000"
19,29,FOntAnA Lucio (1899-1968),"57,177,658","23,286,955",183,137,"6,327,720","5,628,870"
20,26,LIn Fengmian (1900-1991),"52,793,583","25,396,125",257,169,"1,431,650","1,807,400"
21,13,CALder Alexander (1898-1976),"50,952,908","35,833,906",349,270,"5,600,000","3,791,550"
22,308,CUI ruzhuo (1944),"49,619,689","2,259,056",74,7,"8,277,500","516,000"
23,7,LÉGer Fernand (1881-1955),"49,371,768","50,596,541",212,204,"7,200,000","13,083,540"
24,114,kLeIn Yves (1928-1962),"47,519,026","6,601,904",63,58,"11,000,000","1,057,350"
25,25,renOIr Auguste (1841-1919),"46,331,750","26,299,543",261,223,"9,000,000","4,084,250"
26,20,CHAGALL Marc (1887-1985),"46,211,550","30,008,868",1013,932,"3,673,649","3,200,000"
27,49,LU Yanshao (1909-1993),"46,199,864","14,253,401",367,186,"2,630,250","3,225,200"
28,16,ZAO Wou-ki (1921),"46,098,934","33,735,719",244,184,"2,318,400","4,356,800"
29,71,HUAnG Zhou (1925-1997),"45,618,309","10,360,308",437,230,"5,035,050","1,259,900"
30,48,WU Changshuo (1844-1927),"45,276,548","14,919,180",373,264,"4,959,900","774,600"
31,44,tUrner Joseph Mallord Willia (1775-1851),"43,869,809","16,349,432",14,19,"40,211,100","11,500,000"
32,12,MIrO Joan (1893-1983),"43,488,806","38,036,315",1080,955,"9,150,000","5,750,500"
33,59,HUAnG Binhong (1865-1955),"41,799,325","12,606,286",273,142,"1,956,500","1,613,700"
34,52,JOHns Jasper (1930),"40,882,481","14,104,834",129,112,"25,500,000","7,700,000"
35,254,MAnet Édouard (1832-1883),"40,277,387","2,828,257",54,62,"29,674,000","1,700,000"
36,23,kOOns Jeff (1955),"36,220,252","28,217,046",66,91,"15,000,000","5,000,000"
37,99,sCHIeLe egon (1890-1918),"35,193,771","7,960,041",63,40,"6,859,360","713,650"
38,36,kOOnInG de Willem (1904-1997),"35,055,190","19,078,238",64,50,"8,800,000","5,400,000"
39,727,sHen Zhou (1427-1509),"34,819,440","898,060",41,14,"20,400,000","322,300"
