Rank, -,Artist,TotalSold,-,MaxPrice,-
1,2,WARHOL Andy (1928-1987),"$ 422,250,350","$ 199,568,717","$ 64,000,000","$ 15,500,000"
2,1,PICASSO Pablo (1881-1973),"$ 319,697,003","$ 339,580,201","$ 27,500,000","$ 85,000,000"
3,19,BACON Francis (1909-1992),"$ 244,538,868","$ 41,116,157","$ 47,000,000","$ 13,400,000"
4,79,ROTHKO Mark (1903-1970),"$ 206,690,290","$ 12,524,000","$ 65,000,000","$ 3,700,000"
5,14,MONET Claude (1840-1926),"$ 164,928,461","$ 47,246,114","$ 32,696,400","$ 10,000,000"
6,9,MATISSE Henri (1869-1954),"$ 114,186,184","$ 59,739,492","$ 30,000,000","$ 16,500,000"
7,37,BASQUIAT Jean-Michel (1960-1988),"$ 101,507,800","$ 24,543,607","$ 13,000,000","$ 2,600,000"
8,26,LÉGER Fernand (1881-1955),"$ 92,283,376","$ 31,441,802","$ 12,750,000","$ 8,000,000"
9,6,CHAGALL Marc (1887-1985),"$ 88,614,044","$ 89,207,509","$ 12,250,000","$ 3,162,060"
10,17,CÉZANNE Paul (1839-1906),"$ 86,582,638","$ 42,872,266","$ 22,750,000","$ 33,000,000"
11,29,GIACOMETTI Alberto (1901-1966),"$ 86,047,744","$ 29,960,540","$ 16,500,000","$ 7,100,000"
12,21,RICHTER Gerhard (1932),"$ 85,883,161","$ 36,718,362","$ 10,000,000","$ 4,272,065"
13,11,RENOIR Auguste (1841-1919),"$ 85,069,446","$ 56,387,239","$ 11,996,260","$ 8,145,280"
14,22,MIRO Joan (1893-1983),"$ 84,142,237","$ 36,273,872","$ 13,427,540","$ 8,080,820"
15,58,HIRST Damien (1965),"$ 74,750,144","$ 16,868,444","$ 17,119,160","$ 3,000,000"
16,5,MODIGLIANI Amedeo (1884-1920),"$ 73,199,146","$ 90,713,845","$ 27,500,000","$ 27,750,000"
17,4,KOONING de Willem (1904-1997),"$ 71,727,956","$ 107,383,446","$ 17,750,000","$ 24,200,000"
18,8,GAUGUIN Paul (1848-1903),"$ 66,163,590","$ 62,312,914","$ 35,000,000","$ 36,000,000"
19,18,FONTANA Lucio (1899-1968),"$ 65,574,090","$ 42,863,299","$ 4,379,320","$ 3,527,350"
20,24,PISSARRO Camille (1830-1903),"$ 58,144,304","$ 33,491,033","$ 13,000,000","$ 3,980,080"
21,10,LICHTENSTEIN Roy (1923-1997),"$ 57,432,249","$ 59,715,919","$ 7,148,520","$ 14,000,000"
22,35,ZHANG Xiaogang (1958),"$ 56,897,362","$ 24,862,794","$ 4,400,000","$ 2,056,000"
23,7,SCHIELE Egon (1890-1918),"$ 54,191,568","$ 79,082,055","$ 10,100,000","$ 20,000,000"
24,57,KOONS Jeff (1955),"$ 52,610,028","$ 16,909,863","$ 21,000,000","$ 4,700,000"
25,73,MAGRITTE René (1898-1967),"$ 45,425,606","$ 14,156,769","$ 9,222,810","$ 3,000,000"
26,146,YUE Minjun (1962),"$ 44,792,912","$ 6,417,448","$ 5,299,320","$ 835,250"
27,217,ZENG Fanzhi (1964),"$ 40,524,692","$ 4,608,264","$ 4,977,665","$ 706,750"
28,597,SIGNAC Paul (1863-1935),"$ 40,461,095","$ 1,421,799","$ 12,500,000","$ 192,214"
29,44,JAWLENSKY von Alexej (1864-1941),"$ 39,567,572","$ 20,472,132","$ 4,600,000","$ 4,936,680"
30,30,ZAO Wou-ki (1921),"$ 37,796,623","$ 27,446,937","$ 3,343,600","$ 2,827,000"
31,41,VLAMINCK de Maurice (1876-1958),"$ 36,032,532","$ 21,313,116","$ 5,400,000","$ 3,887,520"
32,62,REMBRANDT VAN RIJN (1606-1669),"$ 35,739,045","$ 15,506,660","$ 23,000,000","$ 3,800,000"
33,45,FEININGER Lyonel (1871-1956),"$ 35,631,061","$ 19,662,200","$ 20,750,000","$ 6,849,440"
34,74,PRINCE Richard (1949),"$ 35,428,782","$ 14,097,691","$ 5,400,000","$ 2,000,000"
35,20,MUNCH Edvard (1863-1944),"$ 35,161,067","$ 38,952,613","$ 6,686,440","$ 9,661,850"
36,4902,RAFFAELLO SANZIO (1483-1520),"$ 33,285,450","$ 83,030","$ 33,285,450","$ 83,030"
37,63,RODIN Auguste (1840-1917),"$ 32,978,313","$ 15,141,973","$ 8,124,560","$ 2,700,000"
38,54,FREUD Lucian (1922),"$ 32,860,151","$ 17,790,352","$ 17,250,000","$ 6,465,380"
39,53,WU Guanzhong (1919),"$ 32,782,511","$ 18,497,282","$ 4,847,000","$ 4,853,805"
40,72,WESSELMANN Tom (1931-2004),"$ 32,293,185","$ 14,173,452","$ 5,200,000","$ 2,320,625"
41,31,CALDER Alexander (1898-1976),"$ 31,173,294","$ 25,831,807","$ 3,900,000","$ 5,000,000"
42,23,DONGEN VAN Kees (1877-1968),"$ 30,830,701","$ 33,734,753","$ 4,800,000","$ 4,813,120"
43,27,SOUTINE Chaïm (1894-1943),"$ 30,467,041","$ 30,887,673","$ 15,339,480","$ 12,341,700"
44,15,TURNER Joseph Mallord W. (1775-1851),"$ 30,381,320","$ 44,466,278","$ 6,454,400","$ 32,000,000"
45,84,STELLA Frank (1936),"$ 29,952,415","$ 11,920,622","$ 3,500,000","$ 1,700,000"
46,76,LOWRY Laurence Stephen (1887-1976),"$ 29,220,341","$ 13,942,319","$ 6,660,135","$ 2,361,250"
47,96,RUSCHA Edward Joseph (1937),"$ 29,168,551","$ 9,798,747","$ 6,200,000","$ 1,100,000"
48,112,DOIG Peter (1959),"$ 29,020,295","$ 8,167,320","$ 10,017,930","$ 1,841,900"
49,223,GONCHAROVA Nataliia Sergeevna (1881-1962),"$ 28,415,050","$ 4,500,603","$ 8,697,480","$ 1,844,535"
50,129,MANZONI Piero (1933-1963),"$ 28,056,824","$ 7,167,805","$ 4,073,200","$ 2,300,000"
51,67,MITCHELL Joan (1926-1992),"$ 28,053,554","$ 14,701,689","$ 6,192,520","$ 2,858,450"
52,71,XU Beihong (1895-1953),"$ 27,950,279","$ 14,285,662","$ 8,185,600","$ 6,168,000"
53,90,RAUSCHENBERG Robert (1925),"$ 27,861,451","$ 10,890,615","$ 9,500,000","$ 1,250,000"
54,142,GRIS Juan (1887-1927),"$ 27,022,105","$ 6,547,353","$ 16,500,000","$ 2,029,170"
55,25,JUDD Donald (1928-1994),"$ 26,296,032","$ 32,573,298","$ 8,750,000","$ 2,400,000"
56,48,KANDINSKY Wassily (1866-1944),"$ 25,634,875","$ 19,466,010","$ 4,800,000","$ 8,100,000"
57,33,SISLEY Alfred (1839-1899),"$ 25,418,054","$ 25,428,145","$ 5,113,160","$ 2,700,000"
58,32,DEGAS Edgar (1834-1917),"$ 25,003,601","$ 25,745,936","$ 7,276,420","$ 11,107,200"
59,155,JOHNS Jasper (1930),"$ 23,671,205","$ 6,117,212","$ 15,500,000","$ 1,850,000"
60,12,KIRCHNER Ernst Ludwig (1880-1938),"$ 22,601,761","$ 53,277,750","$ 11,500,000","$ 34,000,000"
61,119,SOMOV Konstantin Andreevic (1869-1939),"$ 22,598,898","$ 7,610,468","$ 6,510,570","$ 4,662,000"
62,46,AIVAZOVSKY Ivan Constantinovich (1817-1900),"$ 22,182,623","$ 19,501,021","$ 4,734,960","$ 2,901,755"
63,49,KLEIN Yves (1928-1962),"$ 22,054,108","$ 19,178,059","$ 2,758,840","$ 4,200,000"
64,34,NOLDE Emil Hansen (1867-1956),"$ 21,983,277","$ 25,136,230","$ 2,876,270","$ 3,412,695"
65,68,ZHANG Daqian (1899-1983),"$ 21,556,343","$ 14,564,065","$ 1,105,960","$ 645,000"
66,28,ROCKWELL Norman Perceval (1894-1978),"$ 21,527,101","$ 30,013,076","$ 5,250,000","$ 13,750,000"
67,576,MARC Franz (1880-1916),"$ 20,525,922","$ 1,487,822","$ 18,000,000","$ 1,375,218"
68,55,HODLER Ferdinand (1853-1918),"$ 20,316,988","$ 17,440,298","$ 7,906,470","$ 4,269,210"
69,50,BOTERO Fernando (1932),"$ 19,810,470","$ 19,156,380","$ 1,400,000","$ 1,800,000"
70,59,QI Baishi (1863-1957),"$ 19,762,523","$ 16,003,041","$ 1,134,320","$ 1,164,075"
71,149,LI Keran (1907-1989),"$ 19,628,949","$ 6,306,669","$ 3,961,800","$ 865,640"
72,124,HARING Keith (1958-1990),"$ 19,457,814","$ 7,263,549","$ 2,500,000","$ 620,000"
73,66,DUFY Raoul (1877-1953),"$ 19,348,874","$ 14,767,637","$ 7,079,760","$ 1,406,912"
74,310,GIACOMETTI Giovanni (1868-1933),"$ 19,216,539","$ 3,144,572","$ 2,387,610","$ 1,480,140"
75,75,CHU Teh-Chun (1920),"$ 19,003,134","$ 14,090,215","$ 1,435,925","$ 2,967,000"
76,157,THIEBAUD Morton Wayne (1920),"$ 18,886,400","$ 6,060,437","$ 4,000,000","$ 1,800,000"
77,211,WANG Guangyi (1957),"$ 18,630,589","$ 4,704,856","$ 3,657,060","$ 438,600"
78,169,WYETH Andrew Newell (1917),"$ 18,554,600","$ 5,785,300","$ 9,200,000","$ 3,900,000"
79,98,MARTIN Agnes Bernice (1912-2004),"$ 18,311,104","$ 9,487,960","$ 4,200,000","$ 1,600,000"
80,158,IACOVLEFF Alexander Evgenevich (1887-1938),"$ 17,312,176","$ 5,981,182","$ 4,932,250","$ 1,744,470"
81,171,CHAMBERLAIN John Angus (1927),"$ 15,920,998","$ 5,744,668","$ 4,100,000","$ 900,000"
82,188,FANG Lijun (1963),"$ 15,892,348","$ 5,197,280","$ 3,600,000","$ 780,948"
83,531,GUSTON Philip (1913-1980),"$ 15,724,000","$ 1,655,767","$ 5,800,000","$ 700,000"
84,43,CHIRICO DE Giorgio (1888-1978),"$ 15,574,745","$ 20,597,359","$ 1,471,725","$ 1,939,410"
85,106,MORANDI Giorgio (1890-1964),"$ 15,493,347","$ 8,793,631","$ 2,372,040","$ 1,103,088"
86,89,FU Baoshi (1904-1965),"$ 15,370,187","$ 10,919,909","$ 2,421,000","$ 1,266,000"
87,86,FRANCIS Sam (1923-1994),"$ 15,210,853","$ 11,325,149","$ 3,100,000","$ 3,600,000"
88,,VELASQUEZ Diego (1599-1660),"$ 15,127,500",,"$ 15,127,500",
89,345,CAI Guoqiang (1957),"$ 15,107,807","$ 2,806,428","$ 8,487,600","$ 786,900"
90,125,CHEN Yifei (1946-2005),"$ 15,107,017","$ 7,259,099","$ 4,694,400","$ 1,376,100"
91,148,RUBENS Peter Paul (1577-1640),"$ 14,893,906","$ 6,368,508","$ 6,955,380","$ 3,152,480"
92,153,INDIANA Robert (1928),"$ 14,892,648","$ 6,145,389","$ 3,100,000","$ 1,013,472"
93,807,LIU Ye (1964),"$ 14,875,519","$ 986,745","$ 1,200,000","$ 412,480"
94,179,ZHOU Chunya (1955),"$ 14,846,896","$ 5,469,479","$ 830,700","$ 550,440"
95,47,DUBUFFET Jean (1901-1985),"$ 14,511,868","$ 19,468,212","$ 1,571,440","$ 4,600,000"
96,156,ZHU Ming (1938),"$ 14,327,725","$ 6,066,411","$ 1,661,400","$ 938,050"
97,390,KUSAMA Yayoi (1929),"$ 14,075,887","$ 2,400,957","$ 1,350,000","$ 800,000"
98,116,ERNST Max (1891-1976),"$ 13,986,281","$ 7,753,755","$ 1,700,000","$ 830,115"
99,60,TOULOUSE-LAUTREC de Henri (1864-1901),"$ 13,919,979","$ 15,812,489","$ 9,000,000","$ 7,600,000"
100,16,BONNARD Pierre (1867-1947),"$ 13,882,739","$ 43,976,055","$ 3,500,000","$ 7,600,000"
101,151,MARINI Marino (1901-1980),"$ 13,870,791","$ 6,226,605","$ 6,250,000","$ 1,247,00"
102,147,VASARELY Victor (1908-1997),"$ 13,848,960","$ 6,414,609","$ 290,000","$ 250,00"
103,95,DIEBENKORN Richard (1922-1993),"$ 13,599,882","$ 9,846,104","$ 6,000,000","$ 5,500,00"
104,88,LIN Fengmian (1900-1991),"$ 13,276,628","$ 10,964,269","$ 483,680","$ 837,85"
105,117,TWOMBLY Cy (1928),"$ 13,011,119","$ 7,750,190","$ 4,500,000","$ 4,100,00"
106,109,KOROVIN Konstantin A. (1861-1939),"$ 12,767,337","$ 8,442,516","$ 1,653,760","$ 1,500,00"
107,118,SOULAGES Pierre (1919),"$ 12,710,828","$ 7,668,430","$ 1,890,854","$ 1,353,40"
108,13,GOGH van Vincent (1853-1890),"$ 12,693,296","$ 52,470,703","$ 4,400,000","$ 36,000,00"
109,308,YAN Pei-Ming (1960),"$ 12,507,493","$ 3,151,987","$ 1,400,000","$ 501,25"
110,36,MOORE Henry (1898-1986),"$ 12,372,680","$ 24,686,251","$ 1,800,000","$ 5,553,60"
111,1614,HOMER Winslow (1836-1910),"$ 12,251,520","$ 389,500","$ 4,000,000","$ 350,00"
112,102,APPEL Karel (1921-2006),"$ 12,236,227","$ 9,226,725","$ 780,065","$ 423,63"
113,202,GIACOMETTI Diego (1902-1985),"$ 12,118,028","$ 4,906,396","$ 542,868","$ 500,00"
114,311,MANET Édouard (1832-1883),"$ 12,080,943","$ 3,144,509","$ 6,729,500","$ 2,213,64"
115,261,WHITELEY Brett (1939-1992),"$ 11,952,252","$ 3,771,712","$ 2,445,280","$ 1,288,09"
116,115,RIOPELLE Jean-Paul (1923-2002),"$ 11,880,650","$ 7,970,577","$ 1,063,725","$ 1,270,34"
117,120,AUERBACH Frank (1931),"$ 11,824,896","$ 7,542,083","$ 3,339,310","$ 736,76"
118,108,POLIAKOFF Serge (1906-1969),"$ 11,549,223","$ 8,724,915","$ 685,338","$ 543,02"
119,83,ALBERS Josef (1888-1976),"$ 11,510,297","$ 11,925,653","$ 1,300,000","$ 1,000,00"
120,320,HESSE Eva (1936-1970),"$ 11,171,902","$ 3,065,000","$ 4,000,000","$ 2,000,00"
121,231,REMINGTON Frederic Sackrider (1861-1909),"$ 11,169,748","$ 4,246,627","$ 3,900,000","$ 1,300,00"
122,77,DALI Salvador (1904-1989),"$ 10,979,628","$ 13,187,909","$ 2,200,000","$ 2,292,03"
123,70,GUARDI Francesco (1712-1793),"$ 10,692,688","$ 14,429,784","$ 7,300,000","$ 6,600,50"
124,857,DINET Etienne Alphonse (1861-1929),"$ 10,626,293","$ 922,262","$ 2,073,590","$ 275,83"
125,208,KAPOOR Anish (1954),"$ 10,576,978","$ 4,766,047","$ 2,500,000","$ 2,000,00"
126,39,BRUEGHEL Pieter II (c.1564-1637/38),"$ 10,545,826","$ 22,929,628","$ 2,900,000","$ 8,487,00"
127,137,MAILLOL Aristide (1861-1944),"$ 10,525,892","$ 6,720,180","$ 2,700,000","$ 2,000,00"
128,298,HARRIS Lawren Stewart H. (1885-1970),"$ 10,463,229","$ 3,275,661","$ 2,304,000","$ 1,292,38"
129,215,BECKMANN Max (1884-1950),"$ 10,295,330","$ 4,624,741","$ 6,500,000","$ 1,500,00"
130,143,BARCELO Miquel (1957),"$ 10,287,845","$ 6,496,043","$ 1,424,423","$ 1,401,51"
131,337,WANG Huaiqing (1944),"$ 10,130,866","$ 2,888,917","$ 2,418,000","$ 616,80"
132,181,BOUGUEREAU William Adolphe (1825-1905),"$ 10,056,192","$ 5,360,500","$ 2,100,000","$ 1,300,00"
133,100,BOUDIN Eugène (1824-1898),"$ 10,012,599","$ 9,254,168","$ 1,684,360","$ 1,405,36"
134,93,PICABIA Francis (1879-1953),"$ 9,908,733","$ 10,345,806","$ 1,153,705","$ 1,668,86"
135,252,COROT Camille Jean-Bapt. (1796-1875),"$ 9,857,098","$ 3,898,038","$ 4,200,000","$ 700,00"
136,52,BELLOTTO Bernardo (1721-1780),"$ 9,816,099","$ 18,762,239","$ 9,800,000","$ 11,427,74"
137,421,KAWARA On (1932),"$ 9,723,683","$ 2,191,247","$ 2,100,000","$ 541,69"
138,210,MAKOVSKIJ Konstantin Egorovic (1839-1915),"$ 9,537,045","$ 4,720,764","$ 3,713,760","$ 969,15"
139,110,ARMAN Fernandez (1928-2005),"$ 9,537,024","$ 8,401,629","$ 418,600","$ 297,04"
140,299,BALDESSARI John (1931),"$ 9,445,900","$ 3,269,513","$ 3,900,000","$ 700,00"
141,97,DERAIN André (1880-1954),"$ 9,374,648","$ 9,572,005","$ 3,558,060","$ 6,100,00"
142,505,DELVAUX Paul (1897-1994),"$ 9,334,221","$ 1,761,018","$ 2,700,000","$ 660,00"
143,170,LOUIS Morris (1912-1962),"$ 9,330,732","$ 5,750,000","$ 2,550,000","$ 1,600,00"
144,82,RYMAN Robert (1930),"$ 9,288,322","$ 12,019,805","$ 3,600,000","$ 8,600,00"
145,87,HOCKNEY David (1937),"$ 9,248,508","$ 11,316,660","$ 2,140,110","$ 4,788,94"
146,178,BURRI Alberto (1915-1995),"$ 9,238,018","$ 5,472,142","$ 3,350,020","$ 1,086,21"
147,369,CANALETTO Antonio Canal (1697-1768),"$ 9,156,613","$ 2,575,310","$ 8,662,920","$ 2,177,10"
148,192,POLKE Sigmar (1941),"$ 9,131,044","$ 5,075,213","$ 4,729,440","$ 1,482,14"
149,150,WOOL Christopher (1955),"$ 9,115,984","$ 6,300,611","$ 1,588,560","$ 1,500,00"
150,346,HICKS Edward (1780-1849),"$ 9,090,000","$ 2,800,000","$ 5,500,000","$ 2,800,00"
151,287,MAJORELLE Jacques (1886-1962),"$ 9,078,180","$ 3,357,134","$ 633,688","$ 858,520"
152,329,BROWN Cecily (1969),"$ 9,038,008","$ 3,000,693","$ 1,400,000","$ 850,000"
153,160,SUGIMOTO Hiroshi (1948),"$ 9,027,924","$ 5,935,796","$ 1,650,000","$ 612,645"
154,113,UTRILLO Maurice (1883-1955),"$ 8,989,263","$ 8,164,521","$ 800,000","$ 300,000"
155,348,SHERMAN Cindy (1954),"$ 8,910,147","$ 2,785,733","$ 1,850,000","$ 580,000"
156,136,CHRISTO (1935),"$ 8,884,899","$ 6,737,941","$ 470,656","$ 400,000"
157,85,RAZA Sayed Haider (1922),"$ 8,784,727","$ 11,432,654","$ 1,234,500","$ 1,300,000"
158,130,TAPIES Antoni (1923),"$ 8,718,514","$ 7,153,175","$ 1,290,705","$ 611,590"
159,61,SOUZA Francis Newton (1924-2002),"$ 8,658,680","$ 15,719,217","$ 600,000","$ 1,200,000"
160,628,WRIGHT OF DERBY Joseph (1734-1797),"$ 8,622,972","$ 1,352,214","$ 6,400,000","$ 364,436"
