A,B,C,D,E,F,G,H
1,2 PICASSO Pablo (1881-1973),"262,366,349","321,415,656",1764,1344,"17,100,000","27,500,000"
2,3 BACON Francis (1909-1992),"256,208,073","244,551,868",100,42,"77,000,000","47,000,000"
3,1 WARHOL Andy (1928-1987),"236,749,034","430,410,295",1164,979,"29,000,000","64,000,000"
4,15 HIRST Damien (1965),"230,887,159","76,561,151",445,146,"16,511,240","17,119,160"
5,5 MONET Claude (1840-1926),"174,695,716","164,928,461",25,38,"71,846,600","32,696,400"
6,11 GIACOMETTI Alberto (1901-1966),"132,631,043","86,058,567",111,95,"24,500,000","16,500,000"
7,12 RICHTER Gerhard (1932),"122,211,095","85,892,496",166,159,"13,989,840","10,000,000"
8,58 DEGAS Edgar (1834-1917),"111,835,132","25,082,392",81,51,"33,000,000","7,276,420"
9,19 FONTANA Lucio (1899-1968),"95,589,589","65,578,840",227,230,"18,127,680","4,379,320"
10,64 KLEIN Yves (1928-1962),"91,868,098","22,054,108",59,75,"21,000,000","2,758,840"
11,24 KOONS Jeff (1955),"89,247,673","52,620,812",112,78,"22,947,100","21,000,000"
12,6 MATISSE Henri (1869-1954),"85,995,245","114,402,912",416,191,"20,000,000","30,000,000"
13,35 MUNCH Edvard (1863-1944),"81,115,060","35,172,746",107,107,"34,000,000","6,686,440"
14,7 BASQUIAT Jean-Michel (1960-1988),"79,314,867","101,514,800",72,82,"12,000,000","13,000,000"
15,8 LÉGER Fernand (1881-1955),"77,527,509","92,300,944",200,164,"35,000,000","12,750,000"
16,39 FREUD Lucian (1922),"72,281,685","32,860,151",35,12,"30,000,000","17,250,000"
17,9 CHAGALL Marc (1887-1985),"63,018,102","89,608,500",975,604,"3,149,440","12,250,000"
18,34 PRINCE Richard (1949),"59,299,289","35,428,782",72,83,"7,515,495","5,400,000"
19,4 ROTHKO Mark (1903-1970),"58,253,022","206,690,290",11,13,"45,000,000","65,000,000"
20,13 RENOIR Auguste (1841-1919),"57,681,906","85,378,145",251,218,"13,010,580","11,996,260"
21,14 MIRO Joan (1893-1983),"54,182,559","84,821,495",929,523,"15,200,000","13,427,540"
22,4856 MALEVICH Kasimir Sevrinovitch (1878-1935),"53,501,119","102,877",2,3,"53,500,000","44,040"
23,23 SCHIELE Egon (1890-1918),"49,578,408","54,194,318",73,62,"5,110,820","10,100,000"
24,20 LICHTENSTEIN Roy (1923-1997),"49,217,887","58,459,048",370,229,"7,979,400","7,148,520"
25,111 MOORE Henry (1898-1986),"46,008,265","12,447,317",218,166,"7,479,920","1,800,000"
26,17 KOONING de Willem (1904-1997),"42,259,693","71,743,056",74,56,"10,750,000","17,750,000"
27,40 WESSELMANN Tom (1931-2004),"41,684,881","32,385,397",201,201,"9,500,000","5,200,000"
28,56 KANDINSKY Wassily (1866-1944),"39,241,226","25,634,974",89,57,"15,000,000","4,800,000"
29,22 ZHANG Xiaogang (1958),"39,223,384","57,516,646",90,109,"5,425,541","4,400,000"
30,27 SIGNAC Paul (1863-1935),"37,959,828","43,062,931",75,84,"5,900,000","12,500,000"
31,21 PISSARRO Camille (1830-1903),"36,367,600","58,175,838",107,102,"4,139,730","13,000,000"
32,54 GRIS Juan (1887-1927),"35,905,040","27,022,105",14,21,"18,500,000","16,500,000"
33,26 MAGRITTE René (1898-1967),"35,228,664","45,569,443",77,88,"4,717,680","9,222,810"
34,29 JAWLENSKY von Alexej (1864-1941),"34,297,513","39,567,572",37,37,"16,558,920","4,600,000"
35,10 CÉZANNE Paul (1839-1906),"33,242,649","86,597,938",48,42,"9,300,000","22,750,000"
36,28 ZENG Fanzhi (1964),"33,079,333","41,922,534",57,79,"8,589,400","4,977,665"
37,182 MURAKAMI Takashi (1962),"32,031,904","7,599,932",250,178,"13,500,000","2,100,000"
38,42 DONGEN VAN Kees (1877-1968),"31,366,495","30,851,122",113,104,"9,828,500","4,800,000"
39,51 MITCHELL Joan (1926-1992),"30,172,743","28,072,647",20,33,"5,360,780","6,192,520"
40,41 CALDER Alexander (1898-1976),"28,960,539","31,269,223",319,276,"2,150,000","3,900,000"
41,246 SEVERINI Gino (1883-1966),"28,876,904","5,714,044",57,58,"26,395,800","1,766,070"
42,38 RODIN Auguste (1840-1917),"28,211,323","33,002,846",103,125,"16,900,000","8,124,560"
43,25 YUE Minjun (1962),"27,046,362","45,713,832",52,67,"6,153,600","5,299,320"
44,30 ZAO Wou-ki (1921),"26,877,902","37,824,099",234,189,"5,160,000","3,343,600"
45,63 AIVAZOVSKY Ivan Constantinovich (1817-1900),"26,507,091","22,192,918",55,52,"3,193,344","4,734,960"
46,53 RAUSCHENBERG Robert (1925-2008),"26,219,146","27,907,574",195,122,"13,000,000","9,500,000"
47,107 TWOMBLY Cy (1928),"24,783,015","13,011,119",48,25,"6,895,350","4,500,000"
48,49 GONCHAROVA Nataliia Sergeevna (1881-1962),"24,752,555","28,799,532",68,77,"9,645,160","8,697,480"
49,52 MANZONI Piero (1933-1963),"24,008,831","28,056,824",26,35,"9,000,000","4,073,200"
50,117 REMINGTON Frederic Sackrider (1861-1909),"22,975,455","11,904,748",44,36,"5,000,000","3,900,000"
51,18 GAUGUIN Paul (1848-1903),"22,493,548","66,221,027",58,44,"7,500,000","35,000,000"
52,68 MARC Franz (1880-1916),"22,363,697","20,527,522",20,11,"21,684,300","18,000,000"
53,1659 WATTEAU Jean Antoine (1684-1721),"21,847,490","507,426",5,3,"21,728,300","456,110"
54,189 TAMAYO Rufino (1899-1991),"21,459,179","7,473,514",147,97,"6,400,000","900,000"
55,100 BONNARD Pierre (1867-1947),"21,410,392","13,911,044",106,86,"5,905,200","3,500,000"
56,66 ZHANG Daqian (1899-1983),"21,372,413","21,809,124",241,235,"957,221","1,105,960"
57,55 JUDD Donald (1928-1994),"21,173,714","26,304,932",43,37,"3,750,000","8,750,000"
58,96 DUBUFFET Jean (1901-1985),"20,920,626","14,787,428",94,128,"3,200,000","1,571,440"
59,573 MORAN Thomas (1837-1926),"19,722,378","2,156,650",18,11,"15,800,000","650,000"
60,1088 CRANACH Lucas I (1472-1553),"19,560,791","902,749",16,8,"6,800,000","700,000"
61,57 SISLEY Alfred (1839-1899),"19,381,400","25,418,054",20,19,"4,139,730","5,113,160"
62,136 PICABIA Francis (1879-1953),"17,621,968","9,909,539",85,83,"2,358,840","1,153,705"
63,60 QI Baishi (1864-1957),"17,111,874","23,003,231",233,279,"800,240","1,134,320"
64,61 KIRCHNER Ernst Ludwig (1880-1938),"17,055,394","22,601,761",124,93,"8,476,590","11,500,000"
65,271 BOURGEOIS Louise (1911),"16,953,260","5,069,616",38,17,"4,020,840","1,700,000"
66,190 LIU Xiaodong (1963),"16,947,886","7,416,698",14,26,"7,287,900","1,492,700"
67,65 NOLDE Emil Hansen (1867-1956),"16,604,660","21,989,380",122,88,"2,759,820","2,876,270"
68,47 RUSCHA Edward Joseph (1937),"16,012,447","29,307,519",97,87,"3,500,000","6,200,000"
69,193 VUILLARD Édouard (1868-1940),"15,845,506","7,291,970",87,58,"7,100,000","1,100,000"
70,85 CHIRICO de Giorgio (1888-1978),"15,530,389","15,626,486",150,135,"5,400,000","1,471,725"
71,179 HASSAM Childe Frederick (1859-1935),"15,341,000","7,708,550",31,25,"5,000,000","3,300,000"
72,32 VLAMINCK de Maurice (1876-1958),"15,231,126","36,440,541",131,127,"3,776,448","5,400,000"
