Rank,Nothing,Name,TotalPrice,Nothing,TotalSold,Nothing,MaxPrice,Nothing
1,3,ZHANG Daqian (1899-1983),554 537 029,314 944 104,1 371,999,21 845 000,13 203 000
2,2,QI Baishi (1864-1957),510 576 030,352 311 466,1 350,1 160,57 202 000,9 535 500
3,4,WARHOL Andy (1928-1987),325 884 120,313 767 658,1 624,1 543,34 250 000,56 500 000
4,1,PICASSO Pablo (1881-1973),314 692 605,362 716 708,3 387,2 930,36 274 500,95 000 000
5,6,XU Beihong (1895-1953),233 488 777,179 882 285,416,330,36 679 200,23 026 500
6,13,WU Guanzhong (1919-2010),221 158 432,75 412 808,318,191,15 440 000,7 476 600
7,9,FU Baoshi (1904-1965),198 335 740,128 865 589,199,238,31 520 000,7 985 600
8,16,RICHTER Gerhard (1932),175 673 073,67 187 593,265,291,18 500 000,11 750 000
9,108,BACON Francis (1909-1992),129 202 110,13 301 877,127,114,32 957 850,12 500 000
10,11,LI Keran (1907-1989),115 361 356,87 825 693,298,281,5 118 750,14 486 400
11,25,LU Yanshao (1909-1993),105 688 007,47 674 343,512,446,5 706 000,2 630 250
12,,STILL Clyfford E. (1904-1980),101 550 000,,4,,55 000 000,
13,23,HUANG Zhou (1925-1997),98 958 977,48 434 391,771,562,8 116 499,5 035 050
14,28,ZAO Wou-ki (1921),91 914 351,46 218 797,358,295,7 838 500,2 318 400
15,32,HUANG Binhong (1865-1955),91 794 754,44 724 893,450,381,7 291 000,1 956 500
16,53,MAGRITTE René (1898-1967),74 147 232,26 196 806,137,133,9 000 000,6 650 550
17,27,CHAGALL Marc (1887-1985),72 801 690,46 469 361,1 512,1 427,4 823 100,3 673 649
18,29,WU Changshuo (1844-1927),70 361 777,45 907 902,610,481,2 377 500,4 959 900
19,10,LICHTENSTEIN Roy (1923-1997),69 878 863,112 547 137,485,470,38 500 000,38 000 000
20,12,MONET Claude (1840-1926),68 363 823,80 396 323,25,43,20 000 000,22 000 000
21,18,BASQUIAT Jean-Michel (1960-1988),67 248 521,63 915 859,73,86,7 670 880,6 400 000
22,20,LIN Fengmian (1900-1991),66 698 393,53 805 513,352,322,2 570 000,1 431 650
23,21,CALDER Alexander (1898-1976),64 394 144,50 974 237,485,446,5 000 000,5 600 000
24,50,ZENG Fanzhi (1964),57 606 972,28 561 266,74,62,5 407 500,4 581 100
25,52,FAN Zeng (1938),55 707 805,26 341 353,286,197,9 258 000,2 111 200
26,58,WANG Meng (1308-1385),55 503 000,22 595 848,11,12,54 040 000,17 885 200
27,5,GIACOMETTI Alberto (1901-1966),53 553 207,213 620 127,252,180,15 408 050,92 521 600
28,39,KOONING de Willem (1904-1997),52 734 527,35 055 190,109,80,6 500 000,8 800 000
29,126,WU Hufan (1894-1968),51 241 457,11 894 327,244,233,13 553 600,762 320
30,51,WANG Hui (1632-1717),50 810 615,27 703 663,139,89,17 435 000,4 837 800
31,19,FONTANA Lucio (1899-1968),50 602 120,56 726 983,251,262,5 500 000,6 327 720
32,14,ZHU Da (1626-1705),47 733 315,74 588 323,99,65,10 055 500,22 500 000
33,24,RENOIR Auguste (1841-1919),47 330 586,47 720 900,359,359,7 276 500,9 000 000
34,17,ROTHKO Mark (1903-1970),46 761 663,63 920 496,9,10,30 000 000,28 000 000
35,63,DALI Salvador (1904-1989),46 037 385,21 244 095,1 705,1 717,19 292 400,5 000 000
36,170,ERNST Max (1891-1976),45 450 367,8 217 619,464,330,14 500 000,1 434 240
37,54,SHI Tao (1642-1707),45 354 959,25 974 147,89,68,18 355 700,4 515 000
38,47,XIE Zhiliu (1910-1997),43 610 132,32 265 487,393,406,6 183 999,6 014 700
39,133,REN Yi (1840-1896),41 858 723,11 422 968,202,200,22 533 000,1 022 039
40,75,ZHANG Xiaogang (1958),41 695 720,17 801 179,73,62,9 002 000,5 929 399
41,139,LOWRY Laurence Stephen (1887-1976),41 456 616,10 622 669,151,165,8 106 000,962 040
42,393,GUARDI Francesco (1712-1793),40 446 916,3 056 330,13,37,38 256 120,637 308
43,34,MIRO Joan (1893-1983),40 350 611,43 541 478,1 609,1 468,6 811 980,9 150 000
44,38,SCHIELE Egon (1890-1918),39 987 499,35 193 905,56,83,35 681 800,6 859 360
45,22,LÉGER Fernand (1881-1955),39 915 514,49 372 175,332,291,5 982 900,7 200 000
46,44,CHEN Yifei (1946-2005),39 894 476,33 304 656,66,45,10 934 000,6 933 599
47,30,CUI Ruzhuo (1944),39 553 558,45 429 619,39,75,14 113 000,7 525 000
48,477,SPENCER Stanley (1891-1959),38 976 083,2 382 413,41,21,7 869 120,1 958 952
49,187,THIEBAUD Morton Wayne (1920),38 801 854,7 688 892,91,51,3 500 000,1 700 000
50,15,KLIMT Gustav (1862-1918),37 545 791,68 607 378,97,105,36 000 000,38 284 800
51,248,POLKE Sigmar (1941-2010),37 422 300,5 783 738,173,191,8 150 310,1 030 835
52,312,ANKER Albert (1831-1910),36 920 805,4 187 200,183,76,6 921 599,1 218 645
53,37,KOONS Jeff (1955),36 281 396,36 220 252,96,94,15 000 000,15 000 000
54,41,PAN Tianshou (1897-1971),35 851 018,34 427 102,105,131,6 482 100,3 667 500
55,211,TANG Yin (1470-1523),35 490 643,7 030 538,62,26,23 145 000,2 125 700
56,213,HUANG Junbi (1898-1991),34 902 981,6 999 004,520,240,941 840,1 065 710
57,7,MATISSE Henri (1869-1954),33 081 873,174 030 599,493,471,14 000 000,43 500 000
58,93,STUBBS George (1724-1806),32 875 383,14 774 667,7,4,32 158 000,14 187 600
59,81,TWOMBLY Cy (1928-2011),32 849 541,17 141 798,62,69,13 500 000,3 315 620
60,45,MOORE Henry (1898-1986),32 095 693,33 015 595,409,360,4 200 000,5 104 640
61,65,SAN Yu (1901-1966),31 584 593,20 966 700,49,57,14 726 560,6 058 299
62,56,PRINCE Richard (1949),30 851 375,23 218 390,78,83,6 000 000,5 700 000
63,136,CHU Teh-Chun (1920),30 760 813,11 011 163,150,117,3 215 000,708 949
64,172,FREUD Lucian (1922-2011),29 814 580,8 152 088,51,43,6 703 200,3 905 500
65,82,ZHENG Banqiao (1693-1765),28 757 980,16 794 056,76,50,6 176 000,4 515 000
66,42,RODIN Auguste (1840-1917),28 499 241,33 980 542,148,187,5 468 170,10 500 000
67,43,ALMA-TADEMA Lawrence (1836-1912),28 315 304,33 562 491,11,11,26 000 000,32 000 000
68,67,CHENG Shifa (1921-2007),27 408 413,20 172 337,608,530,761 950,997 560
69,74,PU Ru (1896-1963),27 360 164,17 823 757,767,614,1 539 600,1 026 200
70,107,ZHOU Chunya (1955),26 990 965,13 410 217,136,98,4 176 399,1 030 400
71,114,GAUGUIN Paul (1848-1903),26 945 220,12 445 461,86,71,10 000 000,4 922 500
72,256,VLAMINCK de Maurice (1876-1958),26 870 018,5 528 347,241,225,20 000 000,506 616
73,110,DUBUFFET Jean (1901-1985),25 869 686,13 003 237,238,191,1 635 900,1 532 835
74,94,HIRST Damien (1965),24 935 795,14 568 449,403,397,1 518 195,3 013 210
75,101,KANDINSKY Wassily (1866-1944),24 383 001,14 225 062,138,135,7 900 000,5 000 000
76,291,BASELITZ Georg (1938),23 851 289,4 659 654,135,128,4 554 585,1 450 000
77,72,BONNARD Pierre (1867-1947),23 697 159,17 964 035,201,214,10 318 080,8 160 350
78,98,KLEE Paul (1879-1940),22 977 615,14 394 245,112,92,5 982 900,4 400 000
79,148,DEGAS Edgar (1834-1917),22 470 852,9 948 610,99,93,7 738 560,1 100 000
80,92,QIAN Songyan (1899-1985),21 514 295,14 781 032,285,263,1 002 950,618 280
81,382,DELVAUX Paul (1897-1994),21 168 624,3 180 335,248,172,8 000 000,1 100 000
82,117,DONG Shouping (1904-1997),21 157 134,12 321 656,347,284,992 880,571 900
83,303,WANG Shimin (1592-1680),21 096 780,4 326 766,36,30,16 569 000,1 950 000
84,55,SHI Lu (1919-1982),21 056 736,23 633 600,84,102,5 874 799,4 180 950
85,158,JAWLENSKY von Alexej (1864-1941),20 293 018,9 011 587,51,53,10 000 000,1 752 960
86,178,WANG Yuanqi (1642-1715),20 223 932,7 906 709,90,53,3 860 000,1 202 120
87,105,STERN Irma (1894-1966),20 119 769,13 599 543,90,67,4 413 420,3 323 880
88,88,YU Fei'an (1888-1959),19 966 911,15 434 283,134,122,3 860 000,4 674 800
89,121,SIGNAC Paul (1863-1935),19 716 910,12 192 704,109,113,3 750 000,2 549 760
90,128,LI Kuchan (1899-1983),19 321 406,11 790 919,439,297,1 805 500,1 503 000
91,222,ZHOU Sicong (1939-1996),19 201 175,6 602 234,207,148,2 317 500,709 230
92,73,ZHU Ming (1938),18 911 053,17 939 696,125,130,2 313 000,2 376 720
93,84,MARINI Marino (1901-1980),18 193 251,16 223 889,292,242,5 965 140,6 264 305
94,111,WANG Xuetao (1903-1982),18 129 265,12 689 434,497,383,1 544 000,751 500
95,701,LEMPICKA de Tamara (1898-1980),18 099 406,1 441 684,38,35,7 500 000,473 550
96,306,STAËL de Nicolas (1914-1955),18 084 826,4 250 361,26,17,8 171 320,1 268 720
97,85,MURAKAMI Takashi (1962),17 925 741,15 895 536,677,421,2 400 000,6 000 000
98,936,BARCELO Miquel (1957),17 913 272,957 112,63,39,5 586 000,306 900
99,163,CAILLEBOTTE Gustave (1848-1894),17 680 700,8 785 910,9,4,16 000 000,4 500 000
100,132,BOTERO Fernando (1932),17 434 046,11 494 668,118,101,1 500 000,1 450 000
101,162,TANG Yun (1910-1993),17 004 926,8 812 122,546,484,786 500,513 450
102,8,MODIGLIANI Amedeo (1884-1920),16 961 247,139 809 698,38,60,7 200 000,61 500 000
