Rank,Artist,TotalPrice
1,WArhOL Andy (1928-1987),"$329,963,430"
2,ZhAnG Daqian (1899-1983),"$287,223,639"
3,PiCASSO Pablo (1881-1973),"$286,145,305"
4,Qi Baishi (1864-1957),"$270,195,309"
5,riChTEr Gerhard (1932),"$262,806,424"
6,XU Beihong (1895-1953),"$175,786,482"
7,Li keran (1907-1989),"$166,791,556"
8,rOThkO mark (1903-1970),"$166,783,649"
9,BACOn Francis (1909-1992),"$153,089,002"
10,FU Baoshi (1904-1965),"$152,071,133"
11,BASQUiAT Jean-michel (1960-1988),"$141,276,790"
12,mirO Joan (1893-1983),"$134,875,177"
13,CALDEr Alexander (1898-1976),"$128,551,918"
14,mUnCh Edvard (1863-1944),"$120,850,295"
15,mOnET Claude (1840-1926),"$120,624,873"
16,LU Yanshao (1909-1993),"$112,070,166"
17,LiChTEnSTEin roy (1923-1997),"$111,614,299"
18,kLEin Yves (1928-1962),"$109,833,734"
19,hUAnG Zhou (1925-1997),"$105,741,059"
20,hUAnG Binhong (1865-1955),"$83,008,711"
21,mOOrE henry (1898-1986),"$79,696,580"
22,WU Changshuo (1844-1927),"$77,103,453"
23,ZAO Wou-ki (1921),"$69,430,555"
24,kOOninG de Willem (1904-1997),"$65,309,906"
25,FOnTAnA Lucio (1899-1968),"$63,847,513"
26,WU Guanzhong (1919-2010),"$62,189,654"
27,kLinE Franz (1910-1962),"$61,758,588"
28,ChU Teh-Chun (1920),"$60,061,037"
29,ChAGALL marc (1887-1985),"$59,656,189"
30,FAn Zeng (1938),"$58,215,448"
31,TWOmBLY Cy (1928-2011),"$58,185,689"
32,Lin Fengmian (1900-1991),"$57,918,961"
33,POLLOCk Jackson (1912-1956),"$56,613,343"
34,mAGriTTE rené (1898-1967),"$55,669,871"
35,hE Jiaying (1957),"$46,739,267"
36,XiE Zhiliu (1910-1997),"$43,410,056"
37,PAn Tianshou (1897-1971),"$42,677,792"
38,rAPhAEL  (1483-1520),"$42,675,600"
39,kAnDinSkY Wassily (1866-1944),"$41,932,360"
40,Qi Gong (1912-2005),"$41,867,353"
41,ZhU Da (1626-1705),"$40,933,543"
42,QiAn Songyan (1899-1985),"$38,951,414"
43,kOOnS Jeff (1955),"$38,758,052"
44,DALi Salvador (1904-1989),"$38,750,328"
45,GiACOmETTi Alberto (1901-1966),"$38,624,791"
46,SiGnAC Paul (1863-1935),"$38,536,057"
47,WU hufan (1894-1968),"$36,807,925"
48,mATiSSE henri (1869-1954),"$36,718,121"
49,rEnOir Auguste (1841-1919),"$35,821,154"
50,PU ru (1896-1963),"$34,138,338"
51,ChEnG Shifa (1921-2007),"$33,965,862"
52,ZhOU Chunya (1955),"$32,539,689"
53,DOnG Qichang (1555-1636),"$32,463,001"
54,COnSTABLE John (1776-1837),"$32,188,970"
55,LÉGEr Fernand (1881-1955),"$31,909,187"
56,ZEnG Fanzhi (1964),"$31,348,298"
57,miTChELL Joan (1926-1992),"$29,848,170"
58,CÉZAnnE Paul (1839-1906),"$29,076,646"
59,WAnG hui (1632-1717),"$28,968,337"
60,Li Xiongcai (1910-2001),"$28,510,254"
61,Li kuchan (1899-1983),"$28,363,476"
62,WEn Zhengming (1470-1559),"$27,417,555"
63,ErnST max (1891-1976),"$27,286,364"
64,DEGAS Edgar (1834-1917),"$27,081,589"
65,WOOL Christopher (1955),"$26,303,275"
66,SUn Qifeng (1920),"$25,571,445"
67,SAn Yu (1901-1966),"$25,350,483"
68,ChEn Yifei (1946-2005),"$25,230,203"
69,BrUEGhEL Pieter ii (c.1564-1637/38),"$24,474,967"
70,ChOU Ying (c.1498-c.1552),"$23,859,863"
71,nEWmAn Barnett (1905-1970),"$23,656,000"
72,hirST Damien (1965),"$23,249,353"
73,DiEBEnkOrn richard (1922-1993),"$23,137,339"
74,PiSSArrO Camille (1830-1903),"$22,876,532"
75,BrAnCUSi Constantin (1876-1957),"$22,808,193"
76,DOnGEn van kees (1877-1968),"$22,752,795"
77,hUiZOnG EmPErOr  (1082-1135),"$22,208,517"
78,Lin Sanzhi (1898-1989),"$21,974,047"
79,DUBUFFET Jean (1901-1985),"$21,845,093"
80,GUAn Shanyue (1912-2000),"$21,775,462"
81,DOnG Shouping (1904-1997),"$21,624,057"
82,rEn Yi (1840-1896),"$20,983,853"
83,mAnZOni Piero (1933-1963),"$20,759,609"
84,hUAnG Yongyu (1924),"$20,633,612"
85,CUi ruzhuo (1944),"$20,629,808"
86,GriS Juan (1887-1927),"$20,503,809"
87,kUSAmA Yayoi (1929),"$20,383,210"
88,TAnG Yun (1910-1993),"$20,206,316"
89,LiU haisu (1896-1994),"$20,117,026"
90,hUAnG Junbi (1898-1991),"$20,082,875"
91,BOnnArD Pierre (1867-1947),"$19,978,966"
92,WAnG Xuetao (1903-1982),"$19,937,952"
93,ZhAnG Xiaogang (1958),"$19,923,592"
94,hOPPEr Edward (1882-1967),"$19,818,226"
95,FrEUD Lucian (1922-2011),"$19,801,616"
96,nOLDE Emil (1867-1956),"$19,772,386"
97,WAnG Duo (1592-1652),"$19,756,540"
98,SOnG Wenzhi (1919-1999),"$19,641,701"
99,ShEn Zhou (1427-1509),"$19,397,102"
100,WAnG mingming (1952),"$18,996,346"
101,GOGh van Vincent (1853-1890),"$18,941,314"
102,LALAnnE François-Xavier (1927-2008),"$18,941,198"
103,YAnG Feiyun (1954),"$18,931,683"
104,BrAQUE Georges (1882-1963),"$18,356,489"
105,hE haixia (1908-1998),"$18,136,863"
106,JAWLEnSkY von Alexej (1864-1941),"$18,075,030"
107,DELVAUX Paul (1897-1994),"$18,051,434"
108,hOFmAnn hans (1880-1966),"$18,003,315"
109,AnkEr Albert (1831-1910),"$17,952,237"
110,WAnG Yuanqi (1642-1715),"$17,929,411"
111,ZhAO Shao'Ang (1905-1998),"$17,801,950"
112,kirChnEr Ernst Ludwig (1880-1938),"$17,738,063"
113,rODin Auguste (1840-1917),"$17,673,311"
114,SiSLEY Alfred (1839-1899),"$17,405,607"
115,JUDD Donald (1928-1994),"$17,188,980"
116,BOUrGEOiS Louise (1911-2010),"$16,800,333"
117,BOTErO Fernando (1932),"$16,634,306"
118,STiLL Clyfford E. (1904-1980),"$16,350,000"
119,rEmBrAnDT VAn riJn  (1606-1669),"$16,227,719"
120,LUO Zhongli (1948),"$16,188,919"
121,GAUGUin Paul (1848-1903),"$16,100,391"
122,VELDE van de Willem ii (1633-1707),"$16,013,290"
123,YU Youren (1879-1964),"$15,935,717"
124,ChiriCO de Giorgio (1888-1978),"$15,688,643"
125,WAnG Ziwu (1936),"$15,632,815"
126,hOnG Yi (1880-1942),"$15,563,691"
127,WESSELmAnn Tom (1931-2004),"$15,185,533"
128,kiEFEr Anselm (1945),"$14,997,043"
129,LiU Dawei (1945),"$14,850,762"
130,SOUTinE Chaïm (1894-1943),"$14,840,077"
131,JOhnS Jasper (1930),"$14,794,254"
132,ZhU ming (1938),"$14,770,417"
133,Shi Guoliang (1956),"$14,690,008"
134,PrinCE richard (1949),"$14,227,873"
135,AiVAZOVSkY ivan Constantinovich (1817-1900),"$14,211,101"
136,WAnG Zhenpeng (XiV),"$14,018,400"
137,LiU Wenxi (1933),"$14,007,642"
138,ThiEBAUD morton Wayne (1920),"$13,866,851"
139,ZhOU Sicong (1939-1996),"$13,524,739"
140,inDiAnA robert (1928),"$13,511,347"
141,mATTA roberto (1911-2002),"$13,203,876"
142,WEi Zixi (1915-2002),"$13,151,814"
143,ShErmAn Cindy (1954),"$13,101,627"
144,JiA Youfu (1942),"$12,965,568"
145,WArhOL & BASQUiAT Andy & Jean-michel (XX),"$12,839,880"
146,FOUJiTA Tsuguharu (1886-1968),"$12,831,384"
147,BOUGUErEAU William Adolphe (1825-1905),"$12,782,306"
148,FAn Yang (1955),"$12,773,516"
149,STAËL de nicolas (1914-1955),"$12,714,745"
150,LEmPiCkA de Tamara (1898-1980),"$12,593,752"
151,mUrAkAmi Takashi (1962),"$12,397,637"
152,FrAnCiS Sam (1923-1994),"$12,142,784"
153,XU Lele (1955),"$12,132,382"
154,ChEn Dayu (1912-2001),"$12,033,156"
155,YU Fei'an (1888-1959),"$12,028,417"
156,CrAnACh Lucas i (1472-1553),"$11,940,888"
157,ZhEnG Banqiao (1693-1765),"$11,830,384"
158,POLkE Sigmar (1941-2010),"$11,772,508"
159,BAi Xueshi (1915-2011),"$11,745,617"
160,Shi Lu (1919-1982),"$11,732,340"
161,kAPOOr Anish (1954),"$11,558,816"
162,WAnG Xijing (1946),"$11,552,855"
163,FAnG Lijun (1963),"$11,527,687"
164,Shi Tao (1642-1707),"$11,444,686"
165,TiAn Liming (1955),"$11,364,312"
166,rOCkWELL norman Perceval (1894-1978),"$11,349,390"
167,BrOWn Glenn (1966),"$11,287,576"
168,PiCABiA Francis (1879-1953),"$11,264,970"
169,mArTin henri Jean Guillaume (1860-1943),"$11,250,075"
170,WAnG Yidong (1955),"$11,134,131"
171,XUE Liang (1956),"$10,998,021"
172,O'kEEFFE Georgia (1887-1986),"$10,850,065"
173,hOCknEY David (1937),"$10,839,738"
174,Ai Xuan (1947),"$10,836,731"
175,ALBErS Josef (1888-1976),"$10,777,930"
176,LAm Wifredo (1902-1982),"$10,686,490"
177,SChiELE Egon (1890-1918),"$10,641,851"
178,ChEn Peiqiu (1922/23),"$10,586,679"
179,Jin nong (1687-1763),"$10,581,986"
180,FAnG Chuxiong (1950),"$10,544,758"
181,VLAminCk de maurice (1876-1958),"$10,494,167"
182,GUrSkY Andreas (1955),"$10,425,261"
183,ChiLLiDA Eduardo (1924-2002),"$10,413,928"
184,BUFFET Bernard (1928-1999),"$10,402,763"
185,GrOTJAhn mark (1968),"$10,400,759"
186,mOrAnDi Giorgio (1890-1964),"$10,373,245"
187,LiU Wei (1965),"$10,340,432"
188,LEE Ufan (1936),"$10,017,415"
189,ArP hans (1886-1966),"$9,840,487"
190,LEE man Fong (1913-1988),"$9,708,160"
191,AFFAnDi  (1907-1990),"$9,673,065"
