A,B,C,D,E
1,WArHOl Andy (1928-1987),"367,410,717",1459,"94,000,000"
2,PIcAssO Pablo (1881-1973),"361,395,402",2776,"40,088,550"
3,ZHANG daqian (1899-1983),"291,667,408",873,"10,031,600"
4,BAsQuIAT Jean-Michel (1960-1988),"250,406,917",91,"43,500,000"
5,QI Baishi (1864-1957),"230,005,520",716,"11,326,000"
6,BAcON Francis (1909-1992),"195,711,262",129,"127,000,000"
7,rIcHTEr Gerhard (1932),"165,885,409",231,"33,000,000"
8,lIcHTENsTEIN roy (1923-1997),"140,589,926",425,"50,000,000"
9,ZAO Wou-ki (1921-2013),"139,559,927",487,"12,410,800"
10,MONET claude (1840-1926),"137,602,368",28,"27,417,250"
11,HuANG Zhou (1925-1997),"121,965,328",673,"18,289,600"
12,KOONING de Willem (1904-1997),"113,251,082",81,"28,500,000"
13,Xu Beihong (1895-1953),"111,577,151",243,"3,726,000"
14,GIAcOMETTI Alberto (1901-1966),"103,974,997",116,"44,500,000"
15,POllOcK Jackson (1912-1956),"100,789,189",10,"52,000,000"
16,lu Yanshao (1909-1993),"94,517,757",504,"6,325,800"
17,Fu Baoshi (1904-1965),"92,818,861",143,"5,346,000"
18,FONTANA lucio (1899-1968),"92,137,150",209,"18,500,000"
19,MOdIGlIANI Amedeo (1884-1920),"89,199,562",41,"37,752,000"
20,HuANG Binhong (1865-1955),"82,510,402",303,"5,677,000"
21,ZENG Fanzhi (1964),"80,227,203",59,"20,640,000"
22,cAldEr Alexander (1898-1976),"76,251,339",364,"5,800,000"
23,MIrO Joan (1893-1983),"76,097,573",1252,"11,790,750"
24,lI Keran (1907-1989),"75,433,992",216,"9,546,000"
25,KOONs Jeff (1955),"75,113,808",78,"52,000,000"
26,cHAGAll Marc (1887-1985),"74,537,700",1040,"11,500,000"
27,Wu Guanzhong (1919-2010),"74,473,348",193,"4,817,350"
28,rOTHKO Mark (1903-1970),"71,691,725",4,"41,000,000"
29,rOcKWEll Norman Perceval (1894-1978),"70,610,208",76,"41,000,000"
30,WOOl christopher (1955),"68,692,702",52,"23,500,000"
31,TWOMBlY cy (1928-2011),"66,008,981",67,"19,200,000"
32,lIN Fengmian (1900-1991),"65,443,629",282,"2,322,000"
33,sAN Yu (1901-1966),"65,225,049",64,"30,077,280"
34,KANdINsKY Wassily (1866-1944),"64,441,064",114,"18,856,800"
35,Wu changshuo (1844-1927),"62,656,306",542,"2,290,400"
36,NEWMAN Barnett (1905-1970),"60,867,500",7,"39,000,000"
37,cHu Teh-chun (1920),"58,898,898",196,"7,998,000"
38,HOPPEr Edward (1882-1967),"57,249,251",18,"36,000,000"
39,rENOIr Pierre-Auguste (1841-1919),"50,458,085",250,"13,527,800"
40,MAGrITTE rené (1898-1967),"48,482,405",105,"7,235,800"
41,XIE Zhiliu (1910-1997),"46,544,073",418,"1,612,500"
42,céZANNE Paul (1839-1906),"45,855,170",46,"37,000,000"
43,MITcHEll Joan (1926-1992),"43,673,236",42,"6,200,000"
44,léGEr Fernand (1881-1955),"42,672,472",191,"7,600,000"
45,scHIElE Egon (1890-1918),"42,481,648",60,"11,004,700"
46,FAN Zeng (1938),"38,266,293",343,"2,270,800"
47,Judd donald (1928-1994),"38,032,917",43,"12,500,000"
48,Pu ru (1896-1963),"36,910,983",897,"832,320"
49,KlEIN Yves (1928-1962),"36,238,028",50,"19,500,000"
50,PAN Tianshou (1897-1971),"33,924,711",80,"5,712,000"
51,MOOrE Henry (1898-1986),"33,766,746",284,"5,300,000"
52,MATIssE Henri (1869-1954),"33,291,559",371,"4,700,000"
53,FrAGONArd Jean-Honoré (1732-1806),"31,742,087",34,"24,893,040"
54,rOdIN Auguste (1840-1917),"31,698,753",116,"13,500,000"
55,dEGAs Edgar (1834-1917),"30,544,395",75,"10,847,490"
56,dOIG Peter (1959),"29,504,740",51,"10,635,200"
57,lI Xiongcai (1910-2001),"29,445,836",286,"12,760,000"
58,cuI ruzhuo (1944),"28,553,777",52,"8,758,400"
59,KusAMA Yayoi (1929),"28,302,371",579,"1,766,160"
60,sIslEY Alfred (1839-1899),"27,719,684",21,"3,916,750"
61,JIN shangyi (1934),"27,571,837",13,"12,076,800"
62,PIssArrO camille (1830-1903),"26,884,463",136,"3,650,000"
63,dAlI salvador (1904-1989),"26,006,341",1308,"6,893,480"
64,sOuTINE chaïm (1894-1943),"25,773,927",10,"16,000,000"
65,WANG duo (1592-1652),"25,725,177",57,"2,425,500"
66,cANAl Giovanni Antonio (1697-1768),"25,556,626",20,"13,928,950"
67,cHEN Yifei (1946-2005),"25,525,931",33,"9,030,000"
68,cHENG shifa (1921-2007),"24,872,592",499,"567,000"
69,ZHOu chunya (1955),"24,749,087",113,"3,741,000"
70,GusTON Philip (1913-1980),"24,269,653",22,"23,000,000"
71,sOulAGEs Pierre (1919),"24,190,570",140,"5,866,820"
72,HuANG Yongyu (1924),"23,606,195",245,"1,290,000"
73,dIEBENKOrN richard (1922-1993),"23,185,946",64,"9,750,000"
74,ruscHA Edward Joseph (1937),"23,162,014",115,"4,200,000"
75,GOGH van Vincent (1853-1890),"22,920,941",12,"6,200,000"
76,duBuFFET Jean (1901-1985),"22,343,377",160,"1,764,720"
77,QI Gong (1912-2005),"22,248,709",416,"905,760"
78,GrOTJAHN Mark (1968),"22,131,132",26,"6,200,000"
79,sIGNAc Paul (1863-1935),"22,007,632",93,"4,871,340"
80,PIcABIA Francis (1879-1953),"21,860,755",72,"7,700,000"
81,QIAN songyan (1899-1985),"21,795,887",214,"1,550,400"
