A,B,C,D,E
1,WarhOL andy (1928-1987),"569,507,083","1,394","73,000,000"
2,PiCaSSO Pablo (1881-1973),"375,054,326","2,898","28,000,000"
3,BaCOn Francis (1909-1992),"270,748,102",122,"72,000,000"
4,riChter Gerhard (1932),"254,353,142",258,"28,711,740"
5,rOthkO mark (1903-1970),"249,188,072",16,"59,000,000"
6,mOnet Claude (1840-1926),"222,694,607",40,"48,073,025"
7,Qi Baishi (1864-1957),"206,245,348",719,"7,861,850"
8,GiaCOmetti alberto (1901-1966),"205,473,704",147,"90,000,000"
9,ZhanG Daqian (1899-1983),"193,242,992",817,"7,476,199"
10,kOOnS Jeff (1955),"149,686,183",104,"30,000,000"
11,BaSQUiat Jean-michel (1960-1988),"148,998,739",71,"31,000,000"
12,tWOmBLY Cy (1928-2011),"126,221,339",61,"62,000,000"
13,ZaO Wou-ki (1921-2013),"115,686,349",575,"7,161,650"
14,LiChtenStein roy (1923-1997),"109,143,660",540,"19,000,000"
15,kOOninG de Willem (1904-1997),"105,999,158",77,"26,000,000"
16,FU Baoshi (1904-1965),"103,465,331",142,"4,944,050"
17,XU Beihong (1895-1953),"102,449,141",219,"6,532,000"
18,mODiGLiani amedeo (1884-1920),"98,954,376",26,"63,000,000"
19,hUanG Zhou (1925-1997),"96,461,998",625,"5,506,020"
20,hUanG Binhong (1865-1955),"88,082,380",303,"8,839,900"
21,GOGh van Vincent (1853-1890),"87,864,632",12,"55,000,000"
22,WOOL Christopher (1955),"87,630,825",52,"21,000,000"
23,ChaGaLL marc (1887-1985),"87,296,130","1,125","10,110,960"
24,mirO Joan (1893-1983),"83,177,312","1,306","11,000,000"
25,FOntana Lucio (1899-1968),"82,185,863",247,"9,038,090"
26,WU Changshuo (1844-1927),"80,942,833",560,"5,463,850"
27,CaLDer alexander (1898-1976),"78,764,837",354,"23,000,000"
28,matiSSe henri (1869-1954),"75,439,034",404,"17,000,000"
29,neWman Barnett (1905-1970),"75,039,000",3,"75,000,000"
30,manet Édouard (1832-1883),"68,522,429",39,"58,000,000"
31,LU Yanshao (1909-1993),"66,350,196",443,"1,925,760"
32,Li keran (1907-1989),"65,946,710",207,"7,294,500"
33,DOiG Peter (1959),"65,945,331",62,"16,000,000"
34,CUi ruzhuo (1944),"65,150,015",49,"20,623,999"
35,LÉGer Fernand (1881-1955),"65,038,926",216,"17,526,600"
36,renOir Pierre-auguste (1841-1919),"64,799,084",270,"10,000,000"
37,ChU teh-Chun (1920-2014),"60,897,598",241,"3,800,000"
38,WU Guanzhong (1919-2010),"60,623,435",153,"2,967,000"
39,kiPPenBerGer martin (1953-1997),"59,801,054",64,"20,000,000"
40,O'keeFFe Georgia (1887-1986),"57,372,500",11,"39,500,000"
41,GriS Juan (1887-1927),"55,609,017",16,"50,778,000"
42,Lin Fengmian (1900-1991),"54,514,729",253,"2,449,500"
43,PrinCe richard (1949),"53,904,826",76,"7,500,000"
44,maGritte rené (1898-1967),"53,449,860",110,"11,415,600"
45,POLke Sigmar (1941-2010),"52,118,395",142,"7,500,000"
46,rOCkWeLL norman Perceval (1894-1978),"49,866,548",78,"20,000,000"
47,tUrner Joseph mallord William (1775-1851),"47,501,117",25,"42,379,200"
48,PiSSarrO Camille (1830-1903),"47,181,620",126,"28,539,000"
49,rYman robert (1930),"45,055,015",22,"13,250,000"
50,ZenG Fanzhi (1964),"43,080,328",50,"3,606,400"
51,mOnDriaan Piet (1872-1944),"42,161,208",12,"22,972,950"
52,kanDinSkY Wassily (1866-1944),"41,815,792",88,"15,200,000"
53,PU ru (1896-1963),"41,246,692","1,042","838,500"
54,rUSCha ed (1937),"40,297,696",161,"27,000,000"
55,Xie Zhiliu (1910-1997),"39,960,699",355,"2,367,850"
56,DieBenkOrn richard (1922-1993),"39,797,050",54,"9,000,000"
57,kLein Yves (1928-1962),"39,322,018",58,"15,000,000"
58,WU hufan (1894-1968),"37,900,898",320,"3,412,500"
59,WanG Duo (1592-1652),"37,871,423",70,"3,013,650"
60,DUBUFFet Jean (1901-1985),"36,738,561",136,"6,500,000"
61,JOhnS Jasper (1930),"36,206,875",127,"32,000,000"
62,Pan tianshou (1897-1971),"34,790,957",88,"3,600,840"
63,kUSama Yayoi (1929),"34,578,242",501,"6,200,000"
64,BrUeGheL Pieter ii (c.1564-1637/38),"33,927,798",17,"8,312,415"
65,LOWrY Laurence Stephen (1887-1976),"33,818,511",211,"7,420,500"
66,harinG keith (1958-1990),"32,957,932",334,"4,200,000"
67,ZhU Da (1626-1705),"32,277,125",38,"6,190,200"
68,ShiraGa kazuo (1924-2008),"31,741,241",59,"4,629,100"
69,COrneLL Joseph (1903-1972),"30,709,300",61,"6,800,000"
70,CÉZanne Paul (1839-1906),"30,651,134",51,"5,277,130"
71,San Yu (1901-1966),"30,027,262",41,"9,151,899"
72,GUYtOn Wade (1972),"29,872,250",25,"5,200,000"
73,manZOni Piero (1933-1963),"29,409,569",20,"17,934,560"
74,FreUD Lucian (1922-2011),"28,880,298",44,"15,000,000"
75,ZhU Xinjian (1953-2014),"28,619,279","1,202","898,150"
76,BraQUe Georges (1882-1963),"28,026,347",288,"8,000,000"
77,mOOre henry (1898-1986),"27,966,291",359,"7,207,200"
78,Qian LOnG emperor (1711-1799),"27,079,477",48,"16,483,200"
79,rODin auguste (1840-1917),"26,464,285",109,"5,870,880"
80,BOetti alighiero (1940-1994),"26,293,943",102,"3,344,040"
81,ChenG Shifa (1921-2007),"25,987,069",486,"1,959,600"
82,StaËL de nicolas (1914-1955),"25,840,977",27,"5,037,550"
83,Qi Gong (1912-2005),"25,693,155",437,"815,500"
84,kLine Franz (1910-1962),"25,601,059",13,"23,500,000"
85,Qian Songyan (1899-1985),"25,582,974",254,"1,053,650"
86,SChWitterS kurt (1887-1948),"25,317,879",25,"21,108,520"
87,VrieS de adrien (c.1550-1626),"24,750,000",1,"24,750,000"
88,CaSteLLani enrico (1930),"24,636,292",70,"5,284,290"
89,Fan Zeng (1938),"23,416,615",237,"2,941,200"
90,DaLi Salvador (1904-1989),"23,267,013","1,393","8,000,000"
91,JUDD Donald (1928-1994),"23,167,881",57,"6,500,000"
92,mitCheLL Joan (1926-1992),"23,076,316",31,"10,500,000"
93,YU Youren (1879-1964),"23,032,037",718,"521,279"
94,BUrri alberto (1915-1995),"22,881,307",60,"6,726,870"
95,ZhOU Chunya (1955),"21,226,785",65,"1,134,700"
96,WanG hui (1632-1717),"21,050,636",58,"4,569,600"
97,DeGaS edgar (1834-1917),"20,879,178",91,"4,500,000"
98,ZhanG Xiaogang (1958),"20,783,341",44,"10,698,699"
99,POLLOCk Jackson (1912-1956),"20,757,940",7,"10,000,000"
100,SteLLa Frank (1936),"20,553,820",195,"5,800,000"
101,BaSeLitZ Georg (1938),"20,223,258",97,"6,500,000"
