A,B,C,D,E
1,pICAsso pablo (1881-1973),"650,837,410","2,875","179,365,000"
2,WARHol Andy (1928-1987),"523,568,378","1,453","56,165,000"
3,MoNET Claude (1840-1926),"338,744,605",36,"54,010,000"
4,ModIGlIANI Amedeo (1884-1920),"251,331,200",46,"170,405,000"
5,GIACoMETTI Alberto (1901-1966),"247,887,204",103,"141,285,000"
6,bACoN Francis (1909-1992),"232,914,456",109,"47,765,000"
7,TWoMbly Cy (1928-2011),"223,136,848",75,"70,530,000"
8,RoTHKo Mark (1903-1970),"219,168,719",12,"81,925,000"
9,FoNTANA lucio (1899-1968),"214,898,176",256,"29,173,000"
10,lICHTENsTEIN Roy (1923-1997),"212,485,347",475,"95,365,000"
11,RICHTER Gerhard (1932),"205,290,421",371,"46,306,758"
12,ZHANG daqian (1899-1983),"179,120,608",570,"6,599,640"
13,qI baishi (1864-1957),"165,247,908",435,"17,997,500"
14,MIRo Joan (1893-1983),"145,501,625","1,263","23,413,412"
15,GoGH van vincent (1853-1890),"143,517,445",12,"66,330,000"
16,CAldER Alexander (1898-1976),"136,607,474",476,"9,573,000"
17,bAsquIAT Jean-Michel (1960-1988),"132,324,565",72,"37,125,000"
18,lI Keran (1907-1989),"117,927,971",139,"28,906,400"
19,Wool Christopher (1955),"113,952,823",46,"29,930,000"
20,ZAo Wou-Ki (1921-2013),"107,942,395",352,"7,177,560"
21,Wu Guanzhong (1919-2010),"102,987,159",128,"11,309,100"
22,FREud lucian (1922-2011),"101,788,409",73,"56,165,000"
23,CHAGAll Marc (1887-1985),"97,781,042","1,127","8,899,914"
24,pAN Tianshou (1897-1971),"95,434,656",63,"45,997,470"
25,MATIssE Henri (1869-1954),"88,486,225",363,"23,830,560"
26,dubuFFET Jean (1901-1985),"84,659,222",150,"24,805,000"
27,dEGAs Edgar (1834-1917),"83,062,671",81,"24,968,665"
28,lGER Fernand (1881-1955),"81,579,031",205,"16,965,000"
